Objeto;Ângulo (°);Distancia (m);Altura (m);Tempo (s);Velocidade Média (m/s)
esfera;5.0;0.1;0.0087155742747658;0.48085;0.20796506186960592
esfera;5.0;0.1;0.0087155742747658;0.47595;0.21010610358230908
esfera;5.0;0.1;0.0087155742747658;0.46965;0.21292451825827743
esfera;5.0;0.1;0.0087155742747658;0.48775;0.20502306509482318
esfera;5.0;0.1;0.0087155742747658;0.48175;0.2075765438505449
esfera;5.0;0.1;0.0087155742747658;0.46865;0.2133788541555532
esfera;5.0;0.1;0.0087155742747658;0.46905;0.21319688732544506
cilindro;5.0;0.4;0.0348622970990632;1.14777;0.34850187755386536
cilindro;5.0;0.4;0.0348622970990632;1.1228;0.35625222657641614
cilindro;5.0;0.4;0.0348622970990632;1.11945;0.3573183259636429
cilindro;5.0;0.4;0.0348622970990632;1.12575;0.3553186764379303
cilindro;5.0;0.4;0.0348622970990632;1.1197;0.35723854603911764
cilindro;5.0;0.4;0.0348622970990632;1.0842;0.3689356207341819
cilindro;5.0;0.4;0.0348622970990632;1.10085;0.36335558886315117
cilindro;5.0;0.4;0.0348622970990632;1.11835;0.3576697813743462
cilindro;5.0;0.4;0.0348622970990632;1.1113;0.35993881040223163
cilindro;5.0;0.4;0.0348622970990632;1.1023;0.36287761952281594
cilindro;5.0;0.3;0.0261467228242974;0.93685;0.32022202060095
cilindro;5.0;0.3;0.0261467228242974;0.91525;0.32777929527451516
cilindro;5.0;0.3;0.0261467228242974;0.92195;0.32539725581647594
cilindro;5.0;0.3;0.0261467228242974;0.9194;0.3262997607135088
cilindro;5.0;0.3;0.0261467228242974;0.91075;0.32939884710403516
cilindro;5.0;0.3;0.0261467228242974;0.9101;0.32963410614218214
cilindro;5.0;0.3;0.0261467228242974;0.89205;0.336304018833025
cilindro;5.0;0.3;0.0261467228242974;0.90435;0.3317299718029524
cilindro;5.0;0.3;0.0261467228242974;0.92;0.3260869565217391
cilindro;5.0;0.3;0.0261467228242974;0.92585;0.32402657017875464
cilindro;5.0;0.2;0.0174311485495316;0.72145;0.2772194885300437
cilindro;5.0;0.2;0.0174311485495316;0.7423;0.269432843863667
cilindro;5.0;0.2;0.0174311485495316;0.72145;0.2772194885300437
cilindro;5.0;0.2;0.0174311485495316;0.7374;0.27122321670735017
cilindro;5.0;0.2;0.0174311485495316;0.73705;0.2713520113967845
cilindro;5.0;0.2;0.0174311485495316;0.7221;0.2769699487605595
cilindro;5.0;0.2;0.0174311485495316;0.71515;0.2796616094525624
cilindro;5.0;0.2;0.0174311485495316;0.72585;0.27553902321416274
cilindro;5.0;0.2;0.0174311485495316;0.73315;0.27279547159517153
cilindro;5.0;0.2;0.0174311485495316;0.73015;0.2739163185646785
cilindro;5.0;0.1;0.0087155742747658;0.4934;0.20267531414673692
cilindro;5.0;0.1;0.0087155742747658;0.5001;0.19996000799840033
cilindro;5.0;0.1;0.0087155742747658;0.49845;0.20062192797672787
cilindro;5.0;0.1;0.0087155742747658;0.4903;0.20395676116663267
cilindro;5.0;0.1;0.0087155742747658;0.49055;0.20385281826521254
cilindro;5.0;0.1;0.0087155742747658;0.49665;0.2013490385583409
cilindro;5.0;0.1;0.0087155742747658;0.50175;0.19930244145490783
cilindro;5.0;0.1;0.0087155742747658;0.49925;0.200300450676014
cilindro;5.0;0.1;0.0087155742747658;0.4902;0.2039983680130559
cilindro;5.0;0.1;0.0087155742747658;0.4854;0.20601565718994644
aro;5.0;0.4;0.0348622970990632;1.2136;0.32959789057350036
aro;5.0;0.4;0.0348622970990632;1.267;0.3157063930544594
aro;5.0;0.4;0.0348622970990632;1.2178;0.32846115946789295
aro;5.0;0.4;0.0348622970990632;1.2137;0.32957073411881027
aro;5.0;0.4;0.0348622970990632;1.1995;0.3334722801167153
aro;5.0;0.4;0.0348622970990632;1.22945;0.32534873317337026
aro;5.0;0.4;0.0348622970990632;1.23325;0.3243462396107845
aro;5.0;0.4;0.0348622970990632;1.2358;0.32367697038355725
aro;5.0;0.4;0.0348622970990632;1.2113;0.3302237265747544
aro;5.0;0.4;0.0348622970990632;1.21575;0.329015011309891
aro;5.0;0.3;0.0261467228242974;1.02885;0.291587694999271
aro;5.0;0.3;0.0261467228242974;1.0213;0.29374326838343284
aro;5.0;0.3;0.0261467228242974;1.03005;0.291247997670016
aro;5.0;0.3;0.0261467228242974;1.01855;0.29453635069461487
aro;5.0;0.3;0.0261467228242974;0.9997;0.3000900270081024
aro;5.0;0.3;0.0261467228242974;0.98185;0.30554565361307734
aro;5.0;0.3;0.0261467228242974;1.01525;0.2954937207584339
aro;5.0;0.3;0.0261467228242974;1.0208;0.2938871473354232
aro;5.0;0.3;0.0261467228242974;0.98815;0.3035976319384709
aro;5.0;0.3;0.0261467228242974;1.0042;0.2987452698665604
aro;5.0;0.2;0.0174311485495316;0.7995;0.25015634771732337
aro;5.0;0.2;0.0174311485495316;0.8089;0.24724935097045372
aro;5.0;0.2;0.0174311485495316;0.8153;0.24530847540782535
aro;5.0;0.2;0.0174311485495316;0.80265;0.249174609107332
aro;5.0;0.2;0.0174311485495316;0.82725;0.24176488365064974
aro;5.0;0.2;0.0174311485495316;0.8084;0.24740227610094015
aro;5.0;0.2;0.0174311485495316;0.80125;0.24960998439937598
aro;5.0;0.2;0.0174311485495316;0.81045;0.24677648220124623
aro;5.0;0.2;0.0174311485495316;0.8278;0.24160425223483936
